"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"NKG7"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NKTR"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"NKTR"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"STAT3"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"STAT3"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TNF"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"TNF"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TRAF1"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"TRAF1"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TRAF5"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"TRAF5"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CREG1"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CREG1"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LAMP2"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"LAMP2"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"FCGR2A"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD302"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CD302"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"GLIPR1"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"GLIPR1"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CSF2RB"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CSF2RB"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"QPCT"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"QPCT"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"RNASE2"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"RNASE2"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IL18"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"IL18"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD36"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CD36"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LY96"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"LY96"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LILRA6"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"LILRA6"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"ENTPD1"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"ENTPD1"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NCF2"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"NCF2"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CSF2RA"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CSF2RA"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IL13RA1"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"IL13RA1"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"SKAP2"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"SCAP2"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IRAK3"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"IRAK3"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CLEC4A"	"gene expression"	"up"	"none"	"18"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"122"	"CLEC4A"	"hipciof_gene_17349694_122.txt"	"hipciof_gene_complete_17349694_122.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CREG1"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CREG1"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LAMP2"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"LAMP2"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"FCGR2A"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD302"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CD302"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"GLIPR1"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"GLIPR1"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CSF2RB"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CSF2RB"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"QPCT"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"QPCT"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"RNASE2"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"RNASE2"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IL18"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"IL18"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD36"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CD36"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LY96"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"LY96"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LILRA6"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"LILRA6"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"ENTPD1"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"ENTPD1"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NCF2"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"NCF2"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CSF2RA"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CSF2RA"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IL13RA1"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"IL13RA1"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"SKAP2"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"SCAP2"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IRAK3"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"IRAK3"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CLEC4A"	"gene expression"	"up"	"none"	"48"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"48hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"4"	"123"	"CLEC4A"	"hipciof_gene_17349694_123.txt"	"hipciof_gene_complete_17349694_123.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LCK"	"gene expression"	"up"	"none"	"192"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"192hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"124"	"LCK"	"hipciof_gene_17349694_124.txt"	"hipciof_gene_complete_17349694_124.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LCK"	"gene expression"	"up"	"none"	"336"	"hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"336hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"6"	"125"	"LCK"	"hipciof_gene_17349694_125.txt"	"hipciof_gene_complete_17349694_125.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"ADAMDEC1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"ADAMDEC1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CCR1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CCR1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
